Provider Number,Facility Name,City,State,Zip Code,Certification Date,Medicare Census,Medicaid Census,Other Census,Total Residents,Program Participation Code,Hospital Based,Ownership Type,Multi-Facility Organization,Multi-Facility Organization Name,Number of AIDS Beds,Number of Alzheimer's Disease Beds,Number of Dialysis Beds,Number of Disabled Children/Young Adult Beds,Number of Head Trauma Beds,Number of Hospice Beds,Number of Huntington's Disease Beds,Number of Ventilator Beds,Number of Other Specialized Rehab Beds,Organized Residents' Group,Organized Family Member Group,Facility Conducts Experimental Research,Continuing Care Retirement Community (CCRC),7 Day RN Waiver Date,7 Day RN Hrs Waived Per Week,24 Hr Licensed Nursing Waiver Date,24 Hr Licensed Nursing Hrs Waived Per Week,Nurse Aide Training and Competency Evaluation Program
345459,Willowbrooke Court SC Ctr at Tryon Estates,Columbus,NC,28722,2024-11-20,2,0,5,7,Skilled Nursing Facility (SNF) - Medicare Participation,No,Non-Profit - Nonprofit Corporation,Yes,Retirement Life Communities,0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,,0,,0,No
345460,Guilford Health Care Center,Greensboro,NC,27406,2025-04-17,8,76,23,107,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,Medical Facilities of America Inc,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345462,The Oaks-Brevard,Brevard,NC,28712,2024-12-18,5,65,10,80,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Pruitt Health,0,24,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345463,Life Care Center of Hendersonville,Hendersonville,NC,28792,2024-07-19,5,25,29,59,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Life Care Centers of America,0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,,0,,0,No
345464,Oak Grove Healthcare,Rutherfordton,NC,28139,2024-09-06,0,39,19,58,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Avardis,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345465,Bayview Nursing & Rehabilitation Center,New Bern,NC,28560,2024-08-22,16,36,8,60,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Century Care Management,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345466,Willowbrook Rehabilitation and Care,Yadkinville,NC,27055,2024-07-24,3,58,8,69,SNF/NF - Medicare/Medicaid,No,For Profit - Partnership,Yes,Avardis,0,20,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345467,NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER-SNU,CHARLOTTE,NC,28207,2024-08-15,11,0,0,11,SNF/NF - Medicare/Medicaid,Yes,Non-Profit - Nonprofit Corporation,Yes,Novant Health,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345468,Liberty Commons Rehabilitation Center,Wilmington,NC,28403,2025-01-22,8,62,6,76,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Liberty Health,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345471,Mecklenburg Heath and Rehabilitation,Charlotte,NC,28273,2024-06-06,8,59,24,91,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345472,Southwood Nursing and Retirement,Clinton,NC,28328,2025-01-24,10,50,22,82,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Liberty Health,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345473,Wilora Lake Healthcare,Charlotte,NC,28212,2025-02-20,8,41,17,66,SNF/NF Dual Certification,No,For Profit - Corporation,Yes,Consulate Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345475,Tsali Care Center,Cherokee,NC,28719,2024-08-22,6,48,11,65,SNF/NF - Medicare/Medicaid,No,Non-Profit - Nonprofit Corporation,No,,0,16,0,0,0,2,0,0,0,Yes,No,No,No,,0,,0,No
345477,Biltmore Haven Nursing and Rehabilitation,Arden,NC,28704,2025-05-01,8,49,13,70,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Consulate Healthcare,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345478,Harnett Woods Nursing and Rehabilitation Center,Dunn,NC,28334,2024-05-31,2,74,9,85,SNF/NF - Medicare/Medicaid,No,For Profit - LLC,Yes,Redwood Group,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345479,Salemtowne,Winston-Salem,NC,27106,2024-09-12,32,8,54,94,SNF/NF - Medicare/Medicaid,No,Non-Profit - Nonprofit Corporation,No,,0,20,0,0,0,0,0,0,0,Yes,Yes,No,Yes,,0,,0,No
345481,Woodlands Nursing & Rehabilitation Center,Fayetteville,NC,28301,2024-05-07,24,39,15,78,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,Yes,Liberty Health and Rehab,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345482,Brookdale Carriage Club Providence,Charlotte,NC,28226,2025-04-07,8,0,2,10,SNF (Medicare) Only,No,For Profit - Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,No,No,Yes,,0,,0,No
345483,Shaire Nursing Center,Lenoir,NC,28645,2024-07-03,19,29,7,55,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,,0,,0,No
345484,TRANSYLVANIA REGIONAL HOSPITAL,BREVARD,NC,28712,2024-09-25,4,0,0,4,SNF/NF - Medicare/Medicaid,Yes,For Profit - Corporation,Yes,HCA Healthcare,0,0,0,0,0,0,0,0,0,No,No,No,No,,0,,0,Yes
345487,Cherry Point Bay Nursing and Rehabilitation Center,Havelock,NC,28532,2025-07-02,11,37,17,65,SNF/NF Dual Certification,No,For Profit - LLC,Yes,Principle Ltc,0,0,0,0,0,0,0,0,0,Yes,No,No,No,,0,,0,No
345489,Rockwell Park Rehabilitation and Healthcare Center,Charlotte,NC,28262,2025-05-23,5,69,12,86,SNF/NF - Medicare/Medicaid,No,For Profit - Corporation,No,,0,0,0,0,0,0,0,0,0,Yes,Yes,No,No,,0,,0,No
